state,pollster,n,mode,population,start.date,end.date,democratic_candidate,republican_candidate,undecided,other,partisan,two_party_sum,polltype,n_respondents,n_democratic_candidate,pct_democratic_candidate,n_republican_candidate,pct_republican_candidate,n_other,p_other
AZ,Insights West,484,Internet,Likely Voters,2016-09-12,2016-09-14,33,37,19,3,Nonpartisan,70,0,484,160,0.4714285714285714,179,0.5285714285714286,15,0.03
AZ,NBC,649,Live Phone,Likely Voters,2016-09-06,2016-09-08,41,42,4,12,Nonpartisan,83,0,649,266,0.4939759036144578,273,0.5060240963855421,78,0.12
AZ,NBC,649,Live Phone,Likely Voters,2016-09-06,2016-09-08,38,40,6,4,Nonpartisan,78,0,649,247,0.48717948717948717,260,0.5128205128205128,26,0.04
AZ,Washington Post,2026,Internet,Registered Voters,2016-08-09,2016-09-01,46,45,9,0,Nonpartisan,91,1,2026,932,0.5054945054945055,912,0.4945054945054945,0,0
AZ,Washington Post,2026,Internet,Registered Voters,2016-08-09,2016-09-01,37,39,6,4,Nonpartisan,76,1,2026,750,0.4868421052631579,790,0.5131578947368421,81,0.04
AZ,Arizona Republic,704,Live Phone,Likely Voters,2016-08-17,2016-08-31,35,34,23,2,Nonpartisan,69,0,704,246,0.5072463768115942,239,0.4927536231884058,14,0.02
AZ,PPP,837,IVR/Online,Likely Voters,2016-08-26,2016-08-28,43,46,11,0,Sponsor,89,0,837,360,0.48314606741573035,385,0.5168539325842697,0,0
AZ,OH Predictive Insights,728,IVR/Live Phone,Likely Voters,2016-08-25,2016-08-27,40,39,13,1,Pollster,79,0,728,291,0.5063291139240507,284,0.4936708860759494,7,0.01
AZ,CNN,809,Live Phone,Likely Voters,2016-08-18,2016-08-23,44,49,0,7,Nonpartisan,93,0,809,356,0.4731182795698925,396,0.5268817204301075,57,0.07
AZ,CNN,809,Live Phone,Likely Voters,2016-08-18,2016-08-23,38,45,0,6,Nonpartisan,83,0,809,307,0.4578313253012048,364,0.54216867469879515,49,0.06
AZ,CBS,1095,Internet,Likely Voters,2016-08-02,2016-08-05,42,44,5,9,Nonpartisan,86,0,1095,460,0.4883720930232558,482,0.5116279069767442,99,0.09
AZ,PPP,691,IVR/Online,Likely Voters,2016-06-22,2016-06-23,40,44,16,0,Sponsor,84,0,691,276,0.47619047619047616,304,0.5238095238095238,0,0
AZ,OH Predictive Insights,1060,Automated Phone,Likely Voters,2016-06-20,2016-06-20,47,42,6,6,Pollster,89,0,1060,498,0.5280898876404494,445,0.47191011235955055,64,0.06
AZ,GQR,300,Live Phone,Likely Voters,2016-06-11,2016-06-20,43,48,3,6,Sponsor,91,0,300,129,0.4725274725274725,144,0.5274725274725275,18,0.06
AZ,GQR,300,Live Phone,Likely Voters,2016-06-11,2016-06-20,39,45,4,3,Sponsor,84,0,300,117,0.4642857142857143,135,0.5357142857142857,9,0.03
AZ,PPP,896,IVR/Online,Likely Voters,2016-05-13,2016-05-15,38,40,13,2,Pollster,78,0,896,340,0.48717948717948717,358,0.5128205128205128,18,0.02
AZ,PPP,896,IVR/Online,Likely Voters,2016-05-13,2016-05-15,41,45,14,0,Pollster,86,0,896,367,0.47674418604651164,403,0.5232558139534884,0,0
AZ,Behavior Research Center,564,Live Phone,Registered Voters,2016-04-04,2016-04-11,42,35,23,0,Nonpartisan,77,1,564,237,0.5454545454545454,197,0.45454545454545453,0,0
AZ,Merrill,701,Live Phone,Likely Voters,2016-03-07,2016-03-11,38,38,15,9,Nonpartisan,76,0,701,266,0.5,266,0.5,63,0.09
AZ,Strategies 360,504,Live Phone,Likely Voters,2015-12-04,2015-12-09,42,44,13,0,Nonpartisan,86,0,504,212,0.4883720930232558,222,0.5116279069767442,0,0
CA,SurveyMonkey,2712,Internet,Likely Voters,2016-11-01,2016-11-07,56,31,2,11,Nonpartisan,87,0,2712,1519,0.6436781609195402,841,0.3563218390804598,298,0.11
CA,Insights West,401,Internet,Likely Voters,2016-11-04,2016-11-06,54,32,7,7,Nonpartisan,86,0,401,217,0.627906976744186,128,0.37209302325581395,28,0.07
CA,UPI,507,Internet,Likely Voters,2016-10-30,2016-11-06,58,37,0,5,Nonpartisan,95,0,507,294,0.6105263157894737,188,0.3894736842105263,25,0.05
CA,Ipsos,1393,Internet,Likely Voters,2016-10-17,2016-11-06,59,32,9,0,Nonpartisan,91,0,1393,822,0.6483516483516484,446,0.3516483516483517,0,0
CA,SurveyUSA,747,IVR/Online,Likely Voters,2016-10-28,2016-10-31,56,35,4,5,Nonpartisan,91,0,747,418,0.6153846153846154,261,0.38461538461538464,37,0.05
CA,Field,1498,Internet,Likely Voters,2016-10-25,2016-10-31,53,33,7,7,Nonpartisan,86,0,1498,794,0.6162790697674418,494,0.38372093023255816,105,0.07
CA,SurveyMonkey,2505,Internet,Likely Voters,2016-10-25,2016-10-31,55,30,3,12,Nonpartisan,85,0,2505,1378,0.6470588235294118,752,0.35294117647058826,301,0.12
CA,USC,1365,Live Phone,Likely Voters,2016-10-22,2016-10-30,54,30,7,8,Nonpartisan,84,0,1365,737,0.6428571428571429,410,0.35714285714285715,109,0.08
CA,USC,1365,Live Phone,Likely Voters,2016-10-22,2016-10-30,58,33,6,4,Nonpartisan,91,0,1365,792,0.6373626373626373,450,0.3626373626373626,55,0.04
CA,UPI,481,Internet,Likely Voters,2016-10-23,2016-10-29,58,38,0,4,Nonpartisan,96,0,481,279,0.6041666666666666,183,0.3958333333333333,19,0.04
CA,SurveyMonkey,1923,Internet,Likely Voters,2016-10-18,2016-10-24,54,31,2,13,Nonpartisan,85,0,1923,1038,0.6352941176470588,596,0.36470588235294116,250,0.13
CA,PPIC,1012,Live Phone,Likely Voters,2016-10-14,2016-10-23,54,28,5,12,Nonpartisan,82,0,1012,546,0.6585365853658537,283,0.34146341463414637,121,0.12
CA,UPI,483,Internet,Likely Voters,2016-10-09,2016-10-16,58,37,0,4,Nonpartisan,95,0,483,280,0.6105263157894737,179,0.3894736842105263,19,0.04
CA,SurveyUSA,725,IVR/Online,Likely Voters,2016-10-13,2016-10-15,56,30,7,6,Nonpartisan,86,0,725,406,0.6511627906976745,218,0.3488372093023256,44,0.06
CA,Sacramento State,622,Internet,Likely Voters,2016-10-07,2016-10-13,61,25,8,7,Nonpartisan,86,0,622,379,0.7093023255813954,156,0.29069767441860467,44,0.07
CA,Ipsos,1196,Internet,Likely Voters,2016-09-23,2016-10-13,66,22,12,0,Nonpartisan,88,0,1196,789,0.75,263,0.25,0,0
CA,UPI,992,Internet,Likely Voters,2016-09-19,2016-10-02,57,39,0,4,Nonpartisan,96,0,992,565,0.59375,387,0.40625,40,0.04
CA,SurveyUSA,732,IVR/Online,Likely Voters,2016-09-27,2016-09-28,59,33,3,5,Nonpartisan,92,0,732,432,0.6413043478260869,242,0.358695652173913,37,0.05
CA,Ipsos,1468,Internet,Likely Voters,2016-09-02,2016-09-22,60,28,12,0,Nonpartisan,88,0,1468,881,0.6818181818181818,411,0.3181818181818182,0,0
CA,PPIC,1045,Live Phone,Likely Voters,2016-09-09,2016-09-18,47,31,6,17,Nonpartisan,78,0,1045,491,0.6025641025641025,324,0.3974358974358974,178,0.17
CA,Insights West,515,Internet,Likely Voters,2016-09-12,2016-09-14,57,30,9,4,Nonpartisan,87,0,515,294,0.6551724137931034,154,0.3448275862068966,21,0.04
CA,Field,1426,Internet,Likely Voters,2016-09-07,2016-09-13,50,33,6,11,Nonpartisan,83,0,1426,713,0.6024096385542169,471,0.39759036144578314,157,0.11
CA,SurveyUSA,678,IVR/Online,Likely Voters,2016-09-08,2016-09-11,57,32,7,4,Nonpartisan,89,0,678,386,0.6404494382022472,217,0.3595505617977528,27,0.04
CA,SurveyMonkey,4212,Internet,Registered Voters,2016-09-01,2016-09-08,58,33,9,0,Nonpartisan,91,1,4212,2443,0.6373626373626373,1390,0.3626373626373626,0,0
CA,SurveyMonkey,4212,Internet,Registered Voters,2016-09-01,2016-09-08,49,29,5,17,Nonpartisan,78,1,4212,2064,0.6282051282051282,1221,0.3717948717948718,716,0.17
CA,Washington Post,2574,Internet,Registered Voters,2016-08-09,2016-09-01,57,33,9,0,Nonpartisan,90,1,2574,1467,0.6333333333333333,849,0.36666666666666664,0,0
CA,Washington Post,2574,Internet,Registered Voters,2016-08-09,2016-09-01,49,28,5,19,Nonpartisan,77,1,2574,1261,0.6363636363636364,721,0.36363636363636365,489,0.19
CA,PPIC,1056,Live Phone,Likely Voters,2016-07-10,2016-07-19,46,30,9,15,Nonpartisan,76,0,1056,486,0.6052631578947368,317,0.39473684210526316,158,0.15
CA,Field,956,Live Phone,Likely Voters,2016-06-08,2016-07-02,58,28,14,0,Nonpartisan,86,0,956,554,0.6744186046511628,268,0.32558139534883723,0,0
CA,Field,956,Live Phone,Likely Voters,2016-06-08,2016-07-02,50,26,14,10,Nonpartisan,76,0,956,478,0.6578947368421053,249,0.34210526315789475,96,0.1
CA,SurveyMonkey,1264,Live Phone,Likely Voters,2016-06-09,2016-06-10,54,28,6,12,Nonpartisan,82,0,1264,683,0.6585365853658537,354,0.34146341463414637,152,0.12
CA,SurveyMonkey,1264,Live Phone,Likely Voters,2016-06-09,2016-06-10,61,31,8,0,Nonpartisan,92,0,1264,771,0.6630434782608695,392,0.33695652173913043,0,0
CA,CBS,1187,Internet,Likely Voters,2016-05-31,2016-06-03,48,33,7,12,Nonpartisan,81,0,1187,570,0.5925925925925926,392,0.4074074074074074,142,0.12
CA,NBC,1833,Live Phone,Registered Voters,2016-05-29,2016-05-31,55,31,6,8,Nonpartisan,86,1,1833,1008,0.6395348837209303,568,0.36046511627906974,147,0.08
CA,Field,1002,Live Phone,Likely Voters,2016-05-26,2016-05-31,53,34,13,0,Nonpartisan,87,0,1002,531,0.6091954022988506,341,0.39080459770114945,0,0
CA,USC,1150,Live Phone,Likely Voters,2016-05-19,2016-05-31,54,33,10,4,Nonpartisan,87,0,1150,621,0.6206896551724138,380,0.3793103448275862,46,0.04
CA,SurveyUSA,1383,IVR/Online,Likely Voters,2016-05-19,2016-05-22,52,38,10,0,Nonpartisan,90,0,1383,719,0.5777777777777777,526,0.4222222222222222,0,0
CA,PPIC,996,Live Phone,Likely Voters,2016-05-13,2016-05-22,49,39,4,7,Nonpartisan,88,0,996,488,0.5568181818181818,388,0.4431818181818182,70,0.07
CA,YouGov,1196,Internet,Likely Voters,2016-05-04,2016-05-16,45,33,10,12,Nonpartisan,78,0,1196,538,0.5769230769230769,395,0.4230769230769231,144,0.12
CA,SurveyUSA,1683,IVR/Online,Likely Voters,2016-04-27,2016-04-30,56,34,10,0,Nonpartisan,90,0,1683,942,0.6222222222222222,572,0.37777777777777777,0,0
CA,Field,1400,Live Phone,Registered Voters,2016-03-24,2016-04-04,59,31,10,0,Nonpartisan,90,1,1400,826,0.6555555555555556,434,0.34444444444444444,0,0
CA,SurveyUSA,1507,IVR/Online,Likely Voters,2016-03-30,2016-04-03,60,26,14,0,Nonpartisan,86,0,1507,904,0.6976744186046512,392,0.3023255813953488,0,0
CA,USC,1202,Live Phone,Likely Voters,2016-03-16,2016-03-23,57,30,8,5,Nonpartisan,87,0,1202,685,0.6551724137931034,361,0.3448275862068966,60,0.05
CO,SurveyMonkey,2777,Internet,Likely Voters,2016-11-01,2016-11-07,43,40,2,4,Nonpartisan,83,0,2777,1194,0.5180722891566265,1111,0.4819277108433735,111,0.04
CO,UPI,343,Internet,Likely Voters,2016-10-30,2016-11-06,50,44,0,6,Nonpartisan,94,0,343,172,0.5319148936170213,151,0.46808510638297873,21,0.06
CO,Ipsos,696,Internet,Likely Voters,2016-10-17,2016-11-06,48,42,10,0,Nonpartisan,90,0,696,334,0.5333333333333333,292,0.4666666666666667,0,0
CO,PPP,704,IVR/Online,Likely Voters,2016-11-03,2016-11-04,48,43,3,3,Pollster,91,0,704,338,0.5274725274725275,303,0.4725274725274725,21,0.03
CO,PPP,704,IVR/Online,Likely Voters,2016-11-03,2016-11-04,50,45,5,0,Pollster,95,0,704,352,0.5263157894736842,317,0.47368421052631576,0,0
CO,Keating,605,Live Phone,Likely Voters,2016-11-02,2016-11-03,43,38,6,7,Sponsor,81,0,605,260,0.5308641975308642,230,0.4691358024691358,42,0.07
CO,Remington Research Group,1863,IVR/Live Phone,Likely Voters,2016-11-01,2016-11-02,42,41,6,5,Sponsor,83,0,1863,782,0.5060240963855421,764,0.4939759036144578,93,0.05
CO,Gravis Marketing,1125,IVR/Online,Registered Voters,2016-11-01,2016-11-02,40,40,3,10,Nonpartisan,80,1,1125,450,0.5,450,0.5,112,0.1
CO,Magellan,500,Live Phone,Likely Voters,2016-11-01,2016-11-02,44,38,7,4,Pollster,82,0,500,220,0.5365853658536586,190,0.4634146341463415,20,0.04
CO,Lucid,972,Internet,Likely Voters,2016-10-28,2016-11-01,44,37,8,3,Nonpartisan,81,0,972,428,0.5432098765432098,360,0.4567901234567901,29,0.03
CO,University of Denver,550,Live Phone,Likely Voters,2016-10-29,2016-10-31,42,41,7,10,Nonpartisan,83,0,550,231,0.5060240963855421,226,0.4939759036144578,55,0.1
CO,University of Denver,550,Live Phone,Likely Voters,2016-10-29,2016-10-31,39,39,9,9,Nonpartisan,78,0,550,214,0.5,214,0.5,50,0.09
CO,SurveyMonkey,1532,Internet,Likely Voters,2016-10-25,2016-10-31,43,39,2,4,Nonpartisan,82,0,1532,659,0.524390243902439,597,0.47560975609756095,61,0.04
CO,Remington Research Group,952,IVR/Live Phone,Likely Voters,2016-10-30,2016-10-30,45,44,4,3,Sponsor,89,0,952,428,0.5056179775280899,419,0.4943820224719101,29,0.03
CO,UPI,342,Internet,Likely Voters,2016-10-23,2016-10-29,50,46,0,5,Nonpartisan,96,0,342,171,0.5208333333333334,157,0.4791666666666667,17,0.05
CO,CBS,997,Internet,Likely Voters,2016-10-26,2016-10-28,42,39,5,6,Nonpartisan,81,0,997,419,0.5185185185185185,389,0.48148148148148145,60,0.06
CO,SurveyMonkey,1595,Internet,Likely Voters,2016-10-18,2016-10-24,44,38,3,3,Nonpartisan,82,0,1595,702,0.5365853658536586,606,0.4634146341463415,48,0.03
CO,U Colorado Boulder,1004,Internet,Adults,2016-10-17,2016-10-24,44,34,0,13,Nonpartisan,78,2,1004,442,0.5641025641025641,341,0.4358974358974359,131,0.13
CO,Remington Research Group,1581,IVR/Live Phone,Likely Voters,2016-10-20,2016-10-22,45,43,4,2,Sponsor,88,0,1581,711,0.5113636363636364,680,0.48863636363636365,32,0.02
CO,Quinnipiac,685,Live Phone,Likely Voters,2016-10-10,2016-10-16,45,37,5,4,Nonpartisan,82,0,685,308,0.5487804878048781,253,0.45121951219512196,27,0.04
CO,Quinnipiac,685,Live Phone,Likely Voters,2016-10-10,2016-10-16,51,40,8,2,Nonpartisan,91,0,685,349,0.5604395604395604,274,0.43956043956043955,14,0.02
CO,UPI,336,Internet,Likely Voters,2016-10-09,2016-10-16,50,45,0,5,Nonpartisan,95,0,336,168,0.5263157894736842,151,0.47368421052631576,17,0.05
CO,Washington Post,956,Internet,Likely Voters,2016-10-08,2016-10-16,50,41,8,0,Nonpartisan,91,0,956,478,0.5494505494505495,392,0.45054945054945056,0,0
CO,Washington Post,956,Internet,Likely Voters,2016-10-08,2016-10-16,44,37,3,4,Nonpartisan,81,0,956,421,0.5432098765432098,354,0.4567901234567901,38,0.04
CO,Magellan,500,Live Phone,Likely Voters,2016-10-12,2016-10-13,40,35,6,7,Pollster,75,0,500,200,0.5333333333333333,175,0.4666666666666667,35,0.07
CO,Gravis Marketing,1226,IVR/Online,Registered Voters,2016-10-12,2016-10-13,44,39,9,2,Nonpartisan,83,1,1226,539,0.5301204819277109,478,0.46987951807228917,25,0.02
CO,Ipsos,695,Internet,Likely Voters,2016-09-23,2016-10-13,47,41,12,0,Nonpartisan,88,0,695,327,0.5340909090909091,285,0.4659090909090909,0,0
CO,Gravis Marketing,1246,IVR/Online,Registered Voters,2016-10-03,2016-10-04,40,40,6,3,Nonpartisan,80,1,1246,498,0.5,498,0.5,37,0.03
CO,Monmouth University,400,Live Phone,Likely Voters,2016-09-29,2016-10-02,49,38,3,4,Nonpartisan,87,0,400,196,0.5632183908045977,152,0.4367816091954023,16,0.04
CO,UPI,553,Internet,Likely Voters,2016-09-19,2016-10-02,48,47,0,5,Nonpartisan,95,0,553,265,0.5052631578947369,260,0.49473684210526314,28,0.05
CO,Keating,602,Live Phone,Likely Voters,2016-09-27,2016-09-29,44,33,6,7,Pollster,77,0,602,265,0.5714285714285714,199,0.42857142857142855,42,0.07
CO,PPP,694,IVR/Online,Likely Voters,2016-09-27,2016-09-28,46,40,6,2,Pollster,86,0,694,319,0.5348837209302325,278,0.46511627906976744,14,0.02
CO,PPP,694,IVR/Online,Likely Voters,2016-09-27,2016-09-28,51,44,5,0,Pollster,95,0,694,354,0.5368421052631579,305,0.4631578947368421,0,0
CO,CNN,784,Live Phone,Likely Voters,2016-09-20,2016-09-25,41,42,0,3,Nonpartisan,83,0,784,321,0.4939759036144578,329,0.5060240963855421,24,0.03
CO,CNN,784,Live Phone,Likely Voters,2016-09-20,2016-09-25,49,47,0,3,Nonpartisan,96,0,784,384,0.5104166666666666,368,0.4895833333333333,24,0.03
CO,CBS,991,Internet,Likely Voters,2016-09-21,2016-09-23,40,39,10,11,Nonpartisan,79,0,991,396,0.5063291139240507,386,0.4936708860759494,109,0.11
CO,Ipsos,534,Internet,Likely Voters,2016-09-02,2016-09-22,42,44,14,0,Nonpartisan,86,0,534,224,0.4883720930232558,235,0.5116279069767442,0,0
CO,Quinnipiac,644,Live Phone,Likely Voters,2016-09-13,2016-09-21,44,42,2,2,Nonpartisan,86,0,644,283,0.5116279069767442,270,0.4883720930232558,13,0.02
CO,Quinnipiac,644,Live Phone,Likely Voters,2016-09-13,2016-09-21,47,47,4,2,Nonpartisan,94,0,644,303,0.5,303,0.5,13,0.02
CO,Franklin and Marshall College,350,Live Phone/Online,Likely Voters,2016-09-14,2016-09-18,44,35,7,14,Nonpartisan,79,0,350,154,0.5569620253164557,122,0.4430379746835443,49,0.14
CO,Franklin and Marshall College,350,Live Phone/Online,Likely Voters,2016-09-14,2016-09-18,41,34,10,3,Nonpartisan,75,0,350,144,0.5466666666666666,119,0.4533333333333333,10,0.03
CO,Washington Post,2428,Internet,Registered Voters,2016-08-09,2016-09-01,46,44,10,0,Nonpartisan,90,1,2428,1117,0.5111111111111111,1068,0.4888888888888889,0,0
CO,Washington Post,2428,Internet,Registered Voters,2016-08-09,2016-09-01,37,37,4,6,Nonpartisan,74,1,2428,898,0.5,898,0.5,146,0.06
CO,Magellan,500,Live Phone,Likely Voters,2016-08-29,2016-08-31,41,36,6,4,Pollster,77,0,500,205,0.5324675324675324,180,0.4675324675324675,20,0.04
CO,Quinnipiac,830,Live Phone,Likely Voters,2016-08-09,2016-08-16,49,39,9,4,Nonpartisan,88,0,830,407,0.5568181818181818,324,0.4431818181818182,33,0.04
CO,Quinnipiac,830,Live Phone,Likely Voters,2016-08-09,2016-08-16,41,33,3,7,Nonpartisan,74,0,830,340,0.5540540540540541,274,0.44594594594594594,58,0.07
CO,NBC,899,Live Phone,Registered Voters,2016-08-04,2016-08-10,46,32,6,15,Nonpartisan,78,1,899,414,0.5897435897435898,288,0.41025641025641024,135,0.15
CO,NBC,899,Live Phone,Registered Voters,2016-08-04,2016-08-10,41,29,8,7,Nonpartisan,70,1,899,369,0.5857142857142857,261,0.4142857142857143,63,0.07
CO,FOX,600,Live Phone,Registered Voters,2016-07-09,2016-07-12,44,34,11,11,Nonpartisan,78,1,600,264,0.5641025641025641,204,0.4358974358974359,66,0.11
CO,FOX,600,Live Phone,Registered Voters,2016-07-09,2016-07-12,37,28,13,10,Nonpartisan,65,1,600,222,0.5692307692307692,168,0.4307692307692308,60,0.1
CO,Monmouth University,404,Live Phone,Likely Voters,2016-07-09,2016-07-12,48,35,7,6,Nonpartisan,83,0,404,194,0.5783132530120482,141,0.42168674698795183,24,0.06
CO,NBC,794,Live Phone,Registered Voters,2016-07-05,2016-07-11,43,35,0,21,Nonpartisan,78,1,794,341,0.5512820512820513,278,0.44871794871794873,167,0.21
CO,NBC,794,Live Phone,Registered Voters,2016-07-05,2016-07-11,39,33,9,7,Nonpartisan,72,1,794,310,0.5416666666666666,262,0.4583333333333333,56,0.07
CO,Harper,500,IVR/Live Phone,Likely Voters,2016-07-07,2016-07-09,45,38,4,14,Pollster,83,0,500,225,0.54216867469879515,190,0.4578313253012048,70,0.14
CO,Gravis Marketing,1313,Automated Phone,Registered Voters,2016-07-07,2016-07-08,43,41,0,16,Nonpartisan,84,1,1313,565,0.5119047619047619,538,0.4880952380952381,210,0.16
CO,Gravis Marketing,1313,Automated Phone,Registered Voters,2016-07-07,2016-07-08,39,38,0,14,Nonpartisan,77,1,1313,512,0.5064935064935064,499,0.4935064935064935,184,0.14
CO,CBS,996,Internet,Likely Voters,2016-06-21,2016-06-24,40,39,10,9,Nonpartisan,79,0,996,398,0.5063291139240507,388,0.4936708860759494,90,0.09
CO,Quinnipiac,1262,Live Phone,Registered Voters,2015-11-11,2015-11-15,37,48,11,4,Nonpartisan,85,1,1262,467,0.43529411764705883,606,0.5647058823529412,50,0.04
CT,SurveyMonkey,1387,Internet,Likely Voters,2016-11-01,2016-11-07,52,36,3,9,Nonpartisan,88,0,1387,721,0.5909090909090909,499,0.4090909090909091,125,0.09
CT,UPI,327,Internet,Likely Voters,2016-10-30,2016-11-06,55,40,0,5,Nonpartisan,95,0,327,180,0.5789473684210527,131,0.42105263157894735,16,0.05
CT,Ipsos,515,Internet,Likely Voters,2016-10-17,2016-11-06,50,40,10,0,Nonpartisan,90,0,515,258,0.5555555555555556,206,0.4444444444444444,0,0
CT,SurveyMonkey,554,Internet,Likely Voters,2016-10-25,2016-10-31,51,39,2,9,Nonpartisan,90,0,554,283,0.5666666666666667,216,0.43333333333333335,50,0.09
CT,UPI,326,Internet,Likely Voters,2016-10-23,2016-10-29,54,43,0,3,Nonpartisan,97,0,326,176,0.5567010309278351,140,0.44329896907216493,10,0.03
CT,SurveyMonkey,515,Internet,Likely Voters,2016-10-18,2016-10-24,50,36,2,11,Nonpartisan,86,0,515,258,0.5813953488372093,185,0.4186046511627907,57,0.11
CT,UPI,326,Internet,Likely Voters,2016-10-09,2016-10-16,55,42,0,4,Nonpartisan,97,0,326,179,0.5670103092783505,137,0.4329896907216495,13,0.04
CT,Ipsos,741,Internet,Likely Voters,2016-09-23,2016-10-13,53,36,11,0,Nonpartisan,89,0,741,393,0.5955056179775281,267,0.4044943820224719,0,0
CT,UPI,520,Internet,Likely Voters,2016-09-19,2016-10-02,54,43,0,4,Nonpartisan,97,0,520,281,0.5567010309278351,224,0.44329896907216493,21,0.04
CT,Ipsos,662,Internet,Likely Voters,2016-09-02,2016-09-22,47,37,16,0,Nonpartisan,84,0,662,311,0.5595238095238095,245,0.44047619047619047,0,0
CT,Washington Post,1053,Internet,Registered Voters,2016-08-09,2016-09-01,51,39,10,0,Nonpartisan,90,1,1053,537,0.5666666666666667,411,0.43333333333333335,0,0
CT,Washington Post,1053,Internet,Registered Voters,2016-08-09,2016-09-01,44,33,6,17,Nonpartisan,77,1,1053,463,0.5714285714285714,347,0.42857142857142855,179,0.17
CT,Quinnipiac,1030,Live Phone,Registered Voters,2016-06-01,2016-06-05,45,38,14,3,Nonpartisan,83,1,1030,464,0.54216867469879515,391,0.4578313253012048,31,0.03
CT,Emerson College Polling Society,1043,Automated Phone,Likely Voters,2016-04-10,2016-04-11,48,40,12,0,Nonpartisan,88,0,1043,501,0.5454545454545454,417,0.45454545454545453,0,0
CT,Quinnipiac,1735,Live Phone,Registered Voters,2015-10-07,2015-10-11,47,40,11,2,Nonpartisan,87,1,1735,815,0.5402298850574713,694,0.45977011494252873,35,0.02
DE,SurveyMonkey,367,Internet,Likely Voters,2016-11-01,2016-11-07,50,39,3,8,Nonpartisan,89,0,367,184,0.5617977528089888,143,0.43820224719101125,29,0.08
DE,UPI,307,Internet,Likely Voters,2016-10-30,2016-11-06,54,42,0,4,Nonpartisan,96,0,307,166,0.5625,129,0.4375,12,0.04
DE,SurveyMonkey,458,Internet,Likely Voters,2016-10-25,2016-10-31,50,38,4,9,Nonpartisan,88,0,458,229,0.5681818181818182,174,0.4318181818181818,41,0.09
DE,UPI,308,Internet,Likely Voters,2016-10-23,2016-10-29,55,42,0,3,Nonpartisan,97,0,308,169,0.5670103092783505,129,0.4329896907216495,9,0.03
DE,SurveyMonkey,528,Internet,Likely Voters,2016-10-18,2016-10-24,52,34,2,12,Nonpartisan,86,0,528,275,0.6046511627906976,180,0.3953488372093023,63,0.12
DE,UPI,315,Internet,Likely Voters,2016-10-09,2016-10-16,56,42,0,3,Nonpartisan,98,0,315,176,0.5714285714285714,132,0.42857142857142855,9,0.03
DE,UPI,475,Internet,Likely Voters,2016-09-19,2016-10-02,54,43,0,3,Nonpartisan,97,0,475,256,0.5567010309278351,204,0.44329896907216493,14,0.03
DE,University of Delaware,762,Live Phone,Likely Voters,2016-09-16,2016-09-28,51,30,9,9,Nonpartisan,81,0,762,389,0.6296296296296297,229,0.37037037037037035,69,0.09
DE,Washington Post,637,Internet,Registered Voters,2016-08-09,2016-09-01,50,36,14,0,Nonpartisan,86,1,637,318,0.5813953488372093,229,0.4186046511627907,0,0
DE,Washington Post,637,Internet,Registered Voters,2016-08-09,2016-09-01,43,33,8,16,Nonpartisan,76,1,637,274,0.5657894736842105,210,0.4342105263157895,102,0.16
DE,Fairleigh Dickinson,715,Live Phone,Registered Voters,2016-07-20,2016-07-24,42,32,12,14,Nonpartisan,74,1,715,300,0.5675675675675675,229,0.43243243243243246,100,0.14
FL,SurveyMonkey,4092,Internet,Likely Voters,2016-11-01,2016-11-07,47,45,2,2,Nonpartisan,92,0,4092,1923,0.5108695652173914,1841,0.4891304347826087,82,0.02
FL,Opinion Savvy,853,IVR/Online,Likely Voters,2016-11-05,2016-11-06,48,46,1,1,Nonpartisan,94,0,853,409,0.5106382978723404,392,0.48936170212765956,9,0.01
FL,Quinnipiac,884,Live Phone,Likely Voters,2016-11-03,2016-11-06,46,45,5,2,Nonpartisan,91,0,884,407,0.5054945054945055,398,0.4945054945054945,18,0.02
FL,Quinnipiac,884,Live Phone,Likely Voters,2016-11-03,2016-11-06,46,46,5,3,Nonpartisan,92,0,884,407,0.5,407,0.5,27,0.03
FL,UPI,438,Internet,Likely Voters,2016-10-30,2016-11-06,47,47,0,5,Nonpartisan,94,0,438,206,0.5,206,0.5,22,0.05
FL,Ipsos,1274,Internet,Likely Voters,2016-10-17,2016-11-06,48,47,5,0,Nonpartisan,95,0,1274,612,0.5052631578947369,599,0.49473684210526314,0,0
FL,CBS,1188,Internet,Likely Voters,2016-11-02,2016-11-04,45,45,2,4,Nonpartisan,90,0,1188,535,0.5,535,0.5,48,0.04
FL,Remington Research Group,2352,IVR/Live Phone,Likely Voters,2016-11-01,2016-11-02,45,48,3,2,Sponsor,93,0,2352,1058,0.4838709677419355,1129,0.5161290322580645,47,0.02
FL,Opinion Savvy,603,IVR/Online,Likely Voters,2016-11-01,2016-11-02,49,45,2,1,Nonpartisan,94,0,603,295,0.5212765957446809,271,0.4787234042553192,6,0.01
FL,Quinnipiac,626,Live Phone,Likely Voters,2016-10-27,2016-11-01,46,45,4,3,Nonpartisan,91,0,626,288,0.5054945054945055,282,0.4945054945054945,19,0.03
FL,Quinnipiac,626,Live Phone,Likely Voters,2016-10-27,2016-11-01,47,45,4,3,Nonpartisan,92,0,626,294,0.5108695652173914,282,0.4891304347826087,19,0.03
FL,CNN,773,Live Phone,Likely Voters,2016-10-27,2016-11-01,49,47,0,2,Nonpartisan,96,0,773,379,0.5104166666666666,363,0.4895833333333333,15,0.02
